date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-04-01,Botafogo RJ,Mirassol,3,2,2,1,11,19,5,4,14,14,2,8,3,3,0,0,35,65,,,,,,
2026-04-01,Internacional,Sao Paulo,1,1,1,0,6,15,4,3,18,15,2,11,2,1,0,0,34,66,,,,,,
2026-04-01,Cruzeiro,Vitoria,3,0,3,0,11,4,6,1,15,12,5,6,1,3,0,0,59,41,,,,,,
2026-04-02,Santos,Remo,2,0,1,0,6,10,3,4,15,14,7,4,4,2,0,0,54,46,84,79,19,25,5,1
2026-04-02,Chapecoense,Atlético-MG,0,4,0,3,14,11,4,7,19,4,7,3,1,0,0,0,44,56,82,87,11,12,9,9
2026-04-02,Palmeiras,Grêmio,2,1,1,0,12,9,4,6,10,14,8,2,0,2,0,0,59,41,85,78,19,11,4,6
2026-04-02,Bragantino,Flamengo,3,0,2,0,14,5,6,1,12,11,6,6,4,1,0,1,49,51,88,84,15,10,2,5
2026-04-02,Fluminense,Corinthians,3,1,2,0,20,12,10,4,10,13,8,10,1,4,0,1,61,39,,,,,,
2026-04-02,Chapecoense-SC,Atletico-MG,0,4,0,3,19,20,4,8,19,5,7,3,1,0,0,0,45,55,,,,,,
2026-04-03,Palmeiras,Gremio,2,1,1,0,16,10,4,5,12,15,8,2,0,4,0,0,60,40,,,,,,
2026-04-03,Bragantino,Flamengo RJ,3,0,2,0,18,7,6,1,12,12,7,5,4,1,0,1,56,44,,,,,,
2026-04-04,São Paulo,Cruzeiro,4,1,2,0,7,10,5,7,20,13,6,3,1,0,0,0,43,57,78,84,7,8,6,3
2026-04-04,Coritiba,Fluminense,1,1,0,0,8,6,4,3,8,13,3,9,1,0,0,0,38,62,81,89,15,9,6,5
2026-04-04,Vasco,Botafogo,1,2,0,0,12,14,6,9,11,14,3,2,1,3,0,0,57,43,88,77,10,10,7,10
2026-04-04,Sao Paulo,Cruzeiro,4,1,2,0,11,14,5,7,21,14,7,4,2,0,0,0,36,64,,,,,,
2026-04-05,Chapecoense,Vitória,1,1,0,0,16,10,6,8,14,14,8,1,2,4,0,1,52,48,80,73,6,10,6,11
2026-04-05,Flamengo,Santos,3,1,0,0,10,12,4,2,2,11,2,7,0,2,0,0,65,35,90,76,15,15,9,7
2026-04-05,Atlético-MG,Athletico-PR,2,1,1,0,11,6,5,3,9,13,2,8,0,1,0,0,52,48,88,86,10,10,5,8
2026-04-05,Corinthians,Internacional,0,1,0,0,7,4,2,3,16,16,6,4,1,3,0,0,64,36,82,68,14,9,6,5
2026-04-05,Bahia,Palmeiras,1,2,0,1,10,5,5,4,16,16,7,4,2,3,0,0,54,46,83,83,9,14,5,6
2026-04-05,Mirassol,Bragantino,0,1,0,0,11,11,2,4,8,9,10,6,2,3,0,0,53,47,79,78,17,11,6,6
2026-04-05,Grêmio,Remo,0,0,0,0,14,9,3,4,6,9,7,3,2,1,0,1,60,40,86,74,10,18,2,5
2026-04-05,Vasco,Botafogo RJ,1,2,0,0,17,18,5,9,11,16,3,2,2,4,0,0,63,37,,,,,,
2026-04-05,Chapecoense-SC,Vitoria,1,1,0,0,25,15,6,9,16,14,9,1,2,3,0,1,58,42,,,,,,
2026-04-05,Atletico-MG,Athletico-PR,2,1,1,0,15,11,5,3,9,13,2,8,0,1,0,0,49,51,,,,,,
2026-04-05,Flamengo RJ,Santos,3,1,0,0,19,17,4,2,2,12,2,7,0,2,0,0,63,37,,,,,,
2026-04-05,Gremio,Remo,0,0,0,0,20,11,3,4,8,9,8,3,2,2,0,1,63,37,,,,,,
2026-04-11,Vitória,São Paulo,2,0,1,0,9,12,5,6,11,11,1,6,2,3,0,1,40,60,82,87,16,6,9,6
2026-04-11,Remo,Vasco,1,1,0,0,8,9,2,3,12,10,3,5,0,3,0,0,42,58,74,83,17,6,10,6
2026-04-11,Mirassol,Bahia,1,2,1,0,9,9,3,8,18,11,6,4,3,1,1,0,41,59,84,86,9,12,9,5
2026-04-11,Santos,Atlético-MG,1,0,0,0,11,7,2,3,8,17,5,7,3,1,0,0,54,46,85,85,21,11,4,9
2026-04-11,Internacional,Grêmio,0,0,0,0,7,4,3,1,19,19,8,2,4,3,0,2,51,49,76,74,12,6,0,3
2026-04-11,Vitoria,Sao Paulo,2,0,1,0,15,16,6,5,11,11,2,6,2,3,0,1,41,59,,,,,,
2026-04-11,Santos,Atletico-MG,1,0,0,0,18,11,2,3,8,17,5,7,4,1,1,0,45,55,,,,,,
2026-04-11,Internacional,Gremio,0,0,0,0,11,4,3,1,19,20,8,2,4,3,0,1,54,46,,,,,,
2026-04-12,Athletico-PR,Chapecoense,2,0,0,0,12,4,7,1,14,14,5,0,2,4,0,0,56,44,81,83,15,10,5,5
